arch,data_frac,delta_mean,delta_std,gain_mean,gain_std,corr_delta_gain
3b_cmod_4L,5%,0.33226000000000006,0.0542623534321909,8.969999999999999,1.2852626190782956,0.9150056256706997
3b_cmod_4L,10%,0.48524,0.06311650338857501,11.224,0.9080638744053195,0.9435299060923098
3b_cmod_4L,15%,0.6497999999999999,0.004448595283907041,12.831999999999999,0.7625090163401353,0.05254866146483883
3b_cmod_4L,20%,0.7701600000000001,0.002141961717678467,13.696000000000002,0.36616935972306613,0.8849058237570566
3b_cmod_4L,30%,0.97664,0.010130301081409169,14.494,0.5024241236246526,0.1880363406213862
3b_cmod_4L,50%,1.31608,0.03383824759055941,15.696000000000002,0.45445571841489696,0.47087768287727394
3b_cmod_4L,100%,1.9788599999999998,0.03587691458305751,17.514000000000003,0.4621471627090225,0.9271451086312537
4b_cmod_4L_h27,5%,0.32612,0.03446588168029364,18.112000000000002,1.2239362728508365,0.6238306780371676
4b_cmod_4L_h27,10%,0.43452,0.0651060058673545,19.856,1.2179203586441927,0.9348584435804076
4b_cmod_4L_h27,15%,0.5272399999999999,0.10090065906623205,19.919999999999998,1.582071426958972,0.9819300091931576
4b_cmod_4L_h27,20%,0.6235600000000001,0.08527562957844405,20.932,1.1999874999348958,0.9967962421788368
4b_cmod_4L_h27,30%,0.81418,0.07453752075297378,22.282000000000004,1.1322852997367752,0.9541938081284236
4b_cmod_4L_h27,50%,1.1271200000000001,0.00467888875695933,23.630000000000003,0.23452078799117085,0.3715950372391324
4b_cmod_4L_h27,100%,1.6881999999999997,0.006142068055630785,25.03,0.21874642854227308,-0.5379383481674823
