arch,data_frac,mean_scat,mean_rand,delta,std_delta,p_value,ci95_lo,ci95_hi,n_seeds
3b_cmod_4L,10%,37.806,29.576,8.23,0.7295752188773973,2.2858374841245185e-05,7.324112716738303,9.135887283261697,5
3b_cmod_4L,100%,60.928,59.59400000000001,1.333999999999999,0.6900028985446348,0.01804481551442737,0.4772482422208798,2.1907517577791182,5
3b_cmod_4L,15%,42.622,36.884,5.7379999999999995,0.4402908129861434,1.2873533940748688e-05,5.191306748775238,6.284693251224761,5
3b_cmod_4L,20%,45.508,41.028,4.480000000000001,0.8970841655051071,0.0005646408834022623,3.3661228883336407,5.593877111666362,5
3b_cmod_4L,30%,49.846000000000004,46.812,3.0340000000000016,0.6679700592092437,0.0008141460527320049,2.2046056256018454,3.863394374398158,5
3b_cmod_4L,5%,30.226,22.428000000000004,7.797999999999999,1.3630906059393122,0.00033296473537348974,6.105499468315398,9.4905005316846,5
3b_cmod_4L,50%,53.907999999999994,52.646,1.2619999999999991,0.5852657516034919,0.012520594251695508,0.5352965868522749,1.9887034131477233,5
4b_cmod_4L_h27,10%,37.99400000000001,30.759999999999998,7.234,0.7400162160385406,4.035945938530703e-05,6.315148506457963,8.152851493542036,5
4b_cmod_4L_h27,100%,61.738,59.52,2.217999999999999,0.2611053427258818,7.03855014929271e-05,1.893794896198616,2.542205103801382,5
4b_cmod_4L_h27,15%,42.732,36.782000000000004,5.95,1.005644072224361,0.00029197215560715394,4.701327960511983,7.1986720394880175,5
4b_cmod_4L_h27,20%,45.967999999999996,40.682,5.286000000000003,0.9726376509265929,0.0004066393904083686,4.07831084554697,6.493689154453036,5
4b_cmod_4L_h27,30%,50.08,47.3,2.78,0.6901883800818421,0.0012893616579662127,1.923017936473799,3.636982063526201,5
4b_cmod_4L_h27,5%,29.998,22.01,7.9879999999999995,1.1705964291761701,0.00016692495182900045,6.534512557466064,9.441487442533935,5
4b_cmod_4L_h27,50%,55.342,53.174,2.1680000000000006,0.5989457404473296,0.0019320769753488122,1.4243106372090537,2.9116893627909475,5
